interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-clean-INT-0000001,review-clean4-clean-APP-000001,review-clean4-clean-CAND-00766,Phone Screen,2026-07-18T09:00:00,2026-07-18T16:00:00,Completed,2.0,,,Leaning No,Best debate significant edge do.
review-clean4-clean-INT-0000002,review-clean4-clean-APP-000001,review-clean4-clean-CAND-00766,Final Panel,2026-07-20T13:00:00,2026-07-20T19:00:00,Completed,3.4,2.2,2.6,Leaning No,Hope simply owner across sign like.
review-clean4-clean-INT-0000003,review-clean4-clean-APP-000002,review-clean4-clean-CAND-02543,Phone Screen,2026-07-12T16:00:00,2026-07-12T22:00:00,Completed,1.4,2.8,1.8,No Hire,
review-clean4-clean-INT-0000004,review-clean4-clean-APP-000003,review-clean4-clean-CAND-01208,Phone Screen,2026-07-27T12:00:00,2026-07-27T17:00:00,Completed,,,3.1,Hire,Miss say simple perform practice investment.
review-clean4-clean-INT-0000005,review-clean4-clean-APP-000004,review-clean4-clean-CAND-02006,Phone Screen,2026-06-04T17:00:00,2026-06-04T23:00:00,Completed,,3.9,4.1,Hire,Gun small Mrs career everyone.
review-clean4-clean-INT-0000006,review-clean4-clean-APP-000004,review-clean4-clean-CAND-02006,Cultural Fit,2026-06-05T09:00:00,2026-06-05T15:00:00,Completed,1.8,2.2,4.2,Hire,None see painting.
review-clean4-clean-INT-0000007,review-clean4-clean-APP-000005,review-clean4-clean-CAND-00597,Phone Screen,2026-06-13T10:00:00,2026-06-13T16:00:00,Completed,2.0,,2.4,Leaning No,Reflect leave player throughout.
review-clean4-clean-INT-0000008,review-clean4-clean-APP-000005,review-clean4-clean-CAND-00597,Technical,2026-06-15T11:00:00,,Scheduled,2.4,2.5,4.6,Leaning No,Practice set behavior hundred ask theory.
review-clean4-clean-INT-0000009,review-clean4-clean-APP-000006,review-clean4-clean-CAND-04716,Phone Screen,2026-07-22T13:00:00,2026-07-22T21:00:00,Completed,4.3,4.1,1.0,No Hire,White like various laugh long.
review-clean4-clean-INT-0000010,review-clean4-clean-APP-000006,review-clean4-clean-CAND-04716,Cultural Fit,2026-07-24T16:00:00,,Scheduled,,4.5,4.8,Hire,Building prevent religious window.
review-clean4-clean-INT-0000011,review-clean4-clean-APP-000006,review-clean4-clean-CAND-04716,Cultural Fit,2026-07-28T11:00:00,,Scheduled,4.2,4.7,4.7,Hire,Figure practice position same.
review-clean4-clean-INT-0000012,review-clean4-clean-APP-000006,review-clean4-clean-CAND-04716,Technical,2026-07-28T09:00:00,,Scheduled,1.8,1.1,,Hire,Behind pattern they style director.
review-clean4-clean-INT-0000013,review-clean4-clean-APP-000007,review-clean4-clean-CAND-03146,Phone Screen,2026-06-16T08:00:00,,Scheduled,3.0,4.3,4.4,Hire,In treatment continue doctor.
review-clean4-clean-INT-0000014,review-clean4-clean-APP-000008,review-clean4-clean-CAND-01999,Phone Screen,2026-06-23T12:00:00,,Scheduled,3.8,2.4,1.6,Leaning No,
review-clean4-clean-INT-0000015,review-clean4-clean-APP-000008,review-clean4-clean-CAND-01999,Coding Challenge,2026-06-26T17:00:00,,Scheduled,1.3,,2.0,No Hire,
review-clean4-clean-INT-0000016,review-clean4-clean-APP-000009,review-clean4-clean-CAND-00046,Phone Screen,2026-08-22T12:00:00,2026-08-22T20:00:00,Completed,4.8,1.5,,No Hire,Final add through between so face.
review-clean4-clean-INT-0000017,review-clean4-clean-APP-000009,review-clean4-clean-CAND-00046,Technical,2026-08-23T12:00:00,2026-08-23T20:00:00,Completed,,2.0,,Hire,Fast will their establish.
review-clean4-clean-INT-0000018,review-clean4-clean-APP-000009,review-clean4-clean-CAND-00046,Coding Challenge,2026-08-28T10:00:00,2026-08-28T17:00:00,Completed,3.6,3.6,1.9,Hire,Church evidence speak.
review-clean4-clean-INT-0000019,review-clean4-clean-APP-000010,review-clean4-clean-CAND-03483,Phone Screen,2026-07-26T14:00:00,2026-07-26T22:00:00,Cancelled,4.9,,1.4,Strong Hire,
review-clean4-clean-INT-0000020,review-clean4-clean-APP-000010,review-clean4-clean-CAND-03483,Phone Screen,2026-07-29T08:00:00,2026-07-29T10:00:00,Completed,,4.3,1.9,Leaning No,
review-clean4-clean-INT-0000021,review-clean4-clean-APP-000011,review-clean4-clean-CAND-04244,Phone Screen,2026-08-04T13:00:00,2026-08-04T18:00:00,Completed,2.2,3.7,2.8,Hire,Account over keep go thus before.
review-clean4-clean-INT-0000022,review-clean4-clean-APP-000011,review-clean4-clean-CAND-04244,Technical,2026-08-05T11:00:00,,Scheduled,3.5,3.6,2.9,Leaning No,International assume from writer account sort expect.
review-clean4-clean-INT-0000023,review-clean4-clean-APP-000011,review-clean4-clean-CAND-04244,Cultural Fit,2026-08-08T12:00:00,2026-08-08T17:00:00,Cancelled,4.9,1.1,3.0,No Hire,Manager court much religious today.
review-clean4-clean-INT-0000024,review-clean4-clean-APP-000012,review-clean4-clean-CAND-04567,Phone Screen,2026-07-16T15:00:00,,Scheduled,4.4,4.1,3.8,No Hire,Although find player feel foot behavior plant.
review-clean4-clean-INT-0000025,review-clean4-clean-APP-000013,review-clean4-clean-CAND-03740,Phone Screen,2026-06-11T12:00:00,2026-06-11T15:00:00,Completed,3.3,2.0,3.2,Leaning No,Meet station history away.
review-clean4-clean-INT-0000026,review-clean4-clean-APP-000013,review-clean4-clean-CAND-03740,Cultural Fit,2026-06-13T08:00:00,2026-06-13T13:00:00,Cancelled,3.8,3.1,1.7,No Hire,Agree current himself pattern.
review-clean4-clean-INT-0000027,review-clean4-clean-APP-000014,review-clean4-clean-CAND-04352,Phone Screen,2026-07-24T15:00:00,2026-07-24T20:00:00,Completed,1.5,5.0,4.7,Hire,See order compare plant.
review-clean4-clean-INT-0000028,review-clean4-clean-APP-000014,review-clean4-clean-CAND-04352,Technical,2026-07-27T08:00:00,2026-07-27T10:00:00,Completed,2.8,3.8,,Leaning No,
review-clean4-clean-INT-0000029,review-clean4-clean-APP-000015,review-clean4-clean-CAND-02600,Phone Screen,2026-08-11T09:00:00,2026-08-11T11:00:00,Cancelled,3.8,1.2,3.2,Hire,Drop him high on.
review-clean4-clean-INT-0000030,review-clean4-clean-APP-000015,review-clean4-clean-CAND-02600,Coding Challenge,2026-08-12T09:00:00,2026-08-12T10:00:00,Completed,3.4,2.9,1.4,Hire,Outside simple now do Mr behavior.
review-clean4-clean-INT-0000031,review-clean4-clean-APP-000015,review-clean4-clean-CAND-02600,Phone Screen,2026-08-17T16:00:00,2026-08-17T21:00:00,Completed,4.9,1.8,2.2,Leaning No,
review-clean4-clean-INT-0000032,review-clean4-clean-APP-000015,review-clean4-clean-CAND-02600,Technical,2026-08-14T08:00:00,2026-08-14T12:00:00,Completed,1.1,2.7,4.3,Strong Hire,Behavior assume state site court.
review-clean4-clean-INT-0000033,review-clean4-clean-APP-000016,review-clean4-clean-CAND-04136,Phone Screen,2026-06-10T09:00:00,,Scheduled,4.7,2.1,4.3,No Hire,Structure soldier situation.
review-clean4-clean-INT-0000034,review-clean4-clean-APP-000017,review-clean4-clean-CAND-03653,Phone Screen,2026-06-06T16:00:00,2026-06-06T22:00:00,Completed,4.7,2.8,4.5,No Hire,Camera president teach family her.
review-clean4-clean-INT-0000035,review-clean4-clean-APP-000017,review-clean4-clean-CAND-03653,Cultural Fit,2026-06-08T08:00:00,2026-06-08T12:00:00,Cancelled,2.2,4.2,2.9,Hire,Mention could improve cut.
review-clean4-clean-INT-0000036,review-clean4-clean-APP-000017,review-clean4-clean-CAND-03653,Coding Challenge,2026-06-12T15:00:00,2026-06-12T18:00:00,Cancelled,2.6,2.5,4.5,Hire,Purpose much discover draw decade.
review-clean4-clean-INT-0000037,review-clean4-clean-APP-000018,review-clean4-clean-CAND-03889,Phone Screen,2026-07-26T17:00:00,2026-07-27T01:00:00,Completed,1.1,1.2,4.6,Strong Hire,Bill whatever money job partner rule.
review-clean4-clean-INT-0000038,review-clean4-clean-APP-000018,review-clean4-clean-CAND-03889,Cultural Fit,2026-07-29T16:00:00,,Scheduled,1.7,1.7,2.4,Hire,Itself space speech compare eat no himself.
review-clean4-clean-INT-0000039,review-clean4-clean-APP-000018,review-clean4-clean-CAND-03889,Coding Challenge,2026-08-01T15:00:00,2026-08-01T20:00:00,Completed,3.3,4.8,,No Hire,
review-clean4-clean-INT-0000040,review-clean4-clean-APP-000019,review-clean4-clean-CAND-02026,Phone Screen,2026-06-24T12:00:00,2026-06-24T17:00:00,Completed,2.2,,4.0,No Hire,War never gas last daughter start against technology.
review-clean4-clean-INT-0000041,review-clean4-clean-APP-000019,review-clean4-clean-CAND-02026,Coding Challenge,2026-06-26T12:00:00,2026-06-26T20:00:00,Cancelled,1.1,1.6,3.8,Leaning No,Wind system plant very.
review-clean4-clean-INT-0000042,review-clean4-clean-APP-000020,review-clean4-clean-CAND-02272,Phone Screen,2026-08-15T14:00:00,2026-08-15T22:00:00,Completed,1.9,1.7,,Leaning No,Writer participant these TV such tend eat interview.
review-clean4-clean-INT-0000043,review-clean4-clean-APP-000020,review-clean4-clean-CAND-02272,Phone Screen,2026-08-18T13:00:00,,Scheduled,5.0,4.6,,No Hire,Them instead force follow benefit technology if and.
review-clean4-clean-INT-0000044,review-clean4-clean-APP-000020,review-clean4-clean-CAND-02272,Technical,2026-08-21T11:00:00,2026-08-21T17:00:00,Cancelled,1.2,,1.2,Strong Hire,Buy near cut also option open ever.
review-clean4-clean-INT-0000045,review-clean4-clean-APP-000021,review-clean4-clean-CAND-03970,Phone Screen,2026-06-03T12:00:00,2026-06-03T19:00:00,Completed,3.9,3.2,1.0,Hire,Meet lay various worry science particular I.
