candidate_id,stage,stage_entry_date,stage_exit_date,status,rejection_reason,next_stage,stage_raw
C1001,Application,2026-01-05,2026-01-06,Completed,,Screening,Application
C1001,Screening,2026-01-06,2026-01-09,Passed,,Technical Interview,Screening
C1001,Interview,2026-01-09,2026-01-14,Rejected,Technical Mismatch,,Technical Interview
C1002,Application,2026-01-07,2026-01-08,Completed,,Screening,Application
C1002,Screening,2026-01-08,2026-01-11,Passed,,Technical Interview,Screening
C1002,Interview,2026-01-11,2026-01-15,Passed,,HR Interview,Technical Interview
C1002,Interview,2026-01-15,2026-01-18,Passed,,Offer,HR Interview
C1002,Offer,2026-01-18,2026-01-20,Accepted,,Joining,Offer
C1002,Joined,2026-01-20,2026-01-20,Completed,,,Joining
C1003,Application,2026-01-08,2026-01-10,Completed,,Screening,Application
C1003,Screening,2026-01-10,2026-01-13,Passed,,Interview,Screening
C1003,Interview,2026-01-13,2026-01-15,Passed,,Offer,Interview
C1003,Offer,2026-01-15,2026-01-20,Accepted,,Joining,Offer
C1003,Joined,2026-01-20,,No-show,No Show,,Joining
C1004,Application,2026-01-10,2026-01-11,Completed,,Screening,Application
C1004,Screening,2026-01-11,2026-01-14,Passed,,Technical Interview,Screening
C1004,Interview,2026-01-14,2026-01-17,Rejected,Technical Mismatch,,Technical Interview
C1005,Application,2026-01-11,2026-01-12,Completed,,Screening,Application
C1005,Screening,2026-01-12,2026-01-15,Passed,,HR Interview,Screening
C1005,Interview,2026-01-15,2026-01-18,Passed,,Offer,HR Interview
C1005,Offer,2026-01-18,2026-01-22,Accepted,,Joining,Offer
C1005,Joined,2026-01-22,2026-02-10,Completed,,,Joining
C1006,Application,2026-01-12,2026-01-13,Completed,,Screening,Application
C1006,Screening,2026-01-13,2026-01-16,Passed,,Sales Interview,Screening
C1006,Interview,2026-01-16,2026-01-19,Passed,,Offer,Sales Interview
C1006,Offer,2026-01-19,2026-01-25,Rejected,Offer Declined - Better Opportunity,,Offer
C1007,Application,2026-01-14,2026-01-15,Completed,,Screening,Application
C1007,Screening,2026-01-15,2026-01-18,Passed,,Technical Interview,Screening
C1007,Interview,2026-01-18,2026-01-20,Passed,,HR Interview,Technical Interview
C1007,Interview,2026-01-20,2026-01-24,Passed,,Offer,HR Interview
C1007,Offer,2026-01-24,2026-01-27,Accepted,,Joining,Offer
C1007,Joined,2026-01-27,2026-02-15,Completed,,,Joining
C1008,Application,2026-01-15,2026-01-16,Completed,,Screening,Application
C1008,Screening,2026-01-16,2026-01-19,Passed,,Finance Interview,Screening
C1008,Interview,2026-01-19,2026-01-21,Withdrawn,Candidate Withdrew,,Finance Interview
C1009,Application,2026-01-17,2026-01-18,Completed,,Screening,Application
C1009,Screening,2026-01-18,2026-01-21,Passed,,Technical Interview,Screening
C1009,Interview,2026-01-21,2026-01-22,Rejected,Technical Mismatch,,Technical Interview
C1010,Application,2026-01-18,2026-01-19,Completed,,Screening,Application
C1010,Screening,2026-01-19,2026-01-22,Passed,,Sales Interview,Screening
C1010,Interview,2026-01-22,2026-01-23,Passed,,Offer,Sales Interview
C1010,Offer,2026-01-23,2026-01-29,Accepted,,Joining,Offer
C1010,Joined,2026-01-29,,No-show,No Show,,Joining
