stage_event_id,application_id,stage_name,entered_at,exited_at,stage_outcome,dropoff_flag,dropoff_reason
EVT-000001,APP-0001, Applied ,06/29T00:00:00/2026,07/01T00:00:00/2026,Passed,False,
EVT-000002,APP-0001,Screening,2026-07-02T19:00:00,2026-07-06T19:00:00,Passed,False,
EVT-000003,APP-0002,Applied,06/17T00:00:00/2026,06/24T00:00:00/2026,Passed,False,
EVT-000004,APP-0002,Screening,2026-06-24T04:00:00,2026-07-01T04:00:00,Passed,False,
EVT-000005,APP-0002,Recruiter Screen,2026-07-02T22:00:00,2026-07-09T22:00:00,Passed,False,
EVT-000006,APP-0002,Hiring Manager Review,2026-07-10T05:00:00,2026-07-13T05:00:00,Passed,False,
EVT-000007,APP-0003,Applied,07/13T00:00:00/2026,2026-07-16T00:00:00,Passed,False,
EVT-000008,APP-0003,Screening,2026-07-17T11:00:00,,Passed,False,
EVT-000009,APP-0003, Recruiter Screen ,07/22T20:00:00/2026,07/25T20:00:00/2026,Passed,False,
EVT-000010,APP-0004,applied,2026-07-18T00:00:00,07/20T00:00:00/2026,Passed,False,
EVT-000011,APP-0004,Screening,2026-07-21T05:00:00,,Passed,False,
EVT-000012,APP-0004,Recruiter Screen,2026-07-27T12:00:00,2026-08-01T12:00:00,Passed,False,
EVT-000013,APP-0005,Applied,2026-05-24T00:00:00,,Passed,False,
EVT-000014,APP-0005,screening,2026-05-27T11:00:00,2026-06-01T11:00:00,Passed,False,
EVT-000015,APP-0005,Recruiter Screen,2026-06-02T19:00:00,2026-06-07T19:00:00,Passed,False,
EVT-000016,APP-0005, Hiring Manager Review ,06/08T09:00:00/2026,,Passed,False,
EVT-000017,APP-0005, Technical Interview ,06/13T13:00:00/2026,06/16T13:00:00/2026,Passed,False,
EVT-000018,APP-0005,Final Interview,2026-06-17T14:00:00,2026-06-19T14:00:00,Passed,False,
EVT-000019,APP-0005,Offer,2026-06-20T15:00:00,2026-06-24T15:00:00,Passed,False,
EVT-000020,APP-0005,Offer Accepted,06/25T21:00:00/2026,2026-06-30T21:00:00,Passed,False,
EVT-000021,APP-0006,Applied,07/17T00:00:00/2026,,Passed,False,
EVT-000022,APP-0006,Screening,07/20T13:00:00/2026,,Passed,False,
EVT-000023,APP-0006,Recruiter Screen,2026-07-25T03:00:00,2026-07-27T03:00:00,Passed,False,
EVT-000024,APP-0006, Hiring Manager Review ,2026-07-28T17:00:00,2026-08-04T17:00:00,Passed,False,
EVT-000025,APP-0006,Technical Interview,2026-08-06T04:00:00,2026-08-09T04:00:00,Passed,False,
EVT-000026,APP-0007,Applied,2026-07-29T00:00:00,2026-08-03T00:00:00,Passed,False,
EVT-000027,APP-0008, Applied ,2026-05-28T00:00:00,2026-05-30T00:00:00,Passed,False,
EVT-000028,APP-0009,Applied,2026-08-01T00:00:00,2026-08-08T00:00:00,Passed,False,
EVT-000029,APP-0009,Screening,08/08T16:00:00/2026,2026-08-13T16:00:00,Passed,False,
EVT-000030,APP-0009,Recruiter Screen,08/14T00:00:00/2026,,Passed,False,
EVT-000031,APP-0009,hiring manager review,2026-08-20T16:00:00,08/26T16:00:00/2026,Passed,False,
EVT-000032,APP-0009,Technical Interview,2026-08-28T07:00:00,2026-08-29T07:00:00,Passed,False,
EVT-000033,APP-0010,Applied,2026-06-08T00:00:00,,Passed,False,
