stage_event_id,application_id,stage_name,entered_at,exited_at,stage_outcome,dropoff_flag,dropoff_reason
review-clean4-messy-EVT-0000001,review-clean4-messy-APP-000001,Applied,07/16T00:00:00/2026,2026-07-22T00:00:00,Passed,False,
review-clean4-messy-EVT-0000002,review-clean4-messy-APP-000001,Screening,07/23T10:00:00/2026,,Passed,False,
review-clean4-messy-EVT-0000003,review-clean4-messy-APP-000001,Recruiter Screen,07/27T06:00:00/2026,2026-07-29T06:00:00,Passed,False,
review-clean4-messy-EVT-0000004,review-clean4-messy-APP-000001,Hiring Manager Review,2026-07-29T16:00:00,,Passed,False,
review-clean4-messy-EVT-0000005,review-clean4-messy-APP-000001,Technical Interview,08/01T19:00:00/2026,08/04T19:00:00/2026,Passed,False,
review-clean4-messy-EVT-0000006,review-clean4-messy-APP-000001,Final Interview,08/05T00:00:00/2026,2026-08-06T00:00:00,Passed,False,
review-clean4-messy-EVT-0000007,review-clean4-messy-APP-000002,Applied,2026-06-28T00:00:00,2026-07-04T00:00:00,Passed,False,
review-clean4-messy-EVT-0000008,review-clean4-messy-APP-000002,Screening,2026-07-04T23:00:00,2026-07-06T23:00:00,Passed,False,
review-clean4-messy-EVT-0000009,review-clean4-messy-APP-000002,Recruiter Screen,2026-07-07T13:00:00,,Passed,False,
review-clean4-messy-EVT-0000010,review-clean4-messy-APP-000002,Hiring Manager Review,07/13T22:00:00/2026,2026-07-17T22:00:00,Passed,False,
review-clean4-messy-EVT-0000011,review-clean4-messy-APP-000002,Technical Interview,2026-07-18T01:00:00,2026-07-19T01:00:00,Passed,False,
review-clean4-messy-EVT-0000012,review-clean4-messy-APP-000003,Applied,07/17T00:00:00/2026,,Passed,False,
review-clean4-messy-EVT-0000013,review-clean4-messy-APP-000003,Screening,2026-07-21T11:00:00,07/24T11:00:00/2026,Passed,False,
review-clean4-messy-EVT-0000014,review-clean4-messy-APP-000003,Recruiter Screen,07/25T19:00:00/2026,2026-07-30T19:00:00,Passed,False,
review-clean4-messy-EVT-0000015,review-clean4-messy-APP-000004, Applied ,2026-05-23T00:00:00,2026-05-27T00:00:00,Passed,False,
review-clean4-messy-EVT-0000016,review-clean4-messy-APP-000004,Screening,2026-05-27T05:00:00,2026-06-02T05:00:00,Passed,False,
review-clean4-messy-EVT-0000017,review-clean4-messy-APP-000004,Recruiter Screen,06/02T09:00:00/2026,06/04T09:00:00/2026,Passed,False,
