interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-messy-INT-0000001,review-clean4-messy-APP-000001,review-clean4-messy-CAND-00766,Phone Screen,2026-07-18T09:00:00,2026-07-18T16:00:00,Completed,2.0,,,Leaning No,Best debate significant edge do.
review-clean4-messy-INT-0000002,review-clean4-messy-APP-000001,review-clean4-messy-CAND-00766,Final Panel,07/20T13:00:00/2026,07/20T19:00:00/2026,COMPLETED,3.4,2.2,2.6,Leaning No,Hope simply owner across sign like.
review-clean4-messy-INT-0000003,review-clean4-messy-APP-000002,review-clean4-messy-CAND-02543,Phone Screen,2026-07-12T16:00:00,2026-07-12T22:00:00,Completed,1.4,,1.8,No Hire,
review-clean4-messy-INT-0000004,review-clean4-messy-APP-000003,review-clean4-messy-CAND-01208,Phone Screen,2026-07-27T12:00:00,2026-07-27T17:00:00,Joined,,,3.1,hire,Miss say simple perform practice investment.
review-clean4-messy-INT-0000005,review-clean4-messy-APP-000004,review-clean4-messy-CAND-02006,Phone Screen,06/04T17:00:00/2026,,Completed,,3.9,4.1,hire,Gun small Mrs career everyone.
review-clean4-messy-INT-0000006,review-clean4-messy-APP-000004,review-clean4-messy-CAND-02006,Cultural Fit,2026-06-05T09:00:00,2026-06-05T15:00:00,Completed,1.8,foo,4.2,Hire,None see painting.
review-clean4-messy-INT-0000007,review-clean4-messy-APP-000005,review-clean4-messy-CAND-00597,Phone Screen,2026-06-13T10:00:00,2026-06-13T16:00:00,completed,N/A,,2.4,Leaning No, Reflect leave player throughout. 
review-clean4-messy-INT-0000008,review-clean4-messy-APP-000005,review-clean4-messy-CAND-00597,Technical,2026-06-15T11:00:00,,Offer accepted,2.4,2.5,4.6,Leaning No,Practice set behavior hundred ask theory.
review-clean4-messy-INT-0000009,review-clean4-messy-APP-000006,review-clean4-messy-CAND-04716,HR Round,2026-07-22T13:00:00,,Completed,4.3,4.1,1.0,No Hire,White like various laugh long.
review-clean4-messy-INT-0000010,review-clean4-messy-APP-000006,review-clean4-messy-CAND-04716,Final Panel,07/24T16:00:00/2026,,Scheduled,NaN,  ,4.8,Leaning No,Building prevent religious window.
review-clean4-messy-INT-0000011,review-clean4-messy-APP-000006,review-clean4-messy-CAND-04716,Cultural Fit,2026-07-28T11:00:00,,Scheduled,4.2,4.7,4.7,Hire,Figure practice position same.
review-clean4-messy-INT-0000012,review-clean4-messy-APP-000006,review-clean4-messy-CAND-04716,HR Round,2026-07-28T09:00:00,,Scheduled,1.8,1.1,,hire,Behind pattern they style director.
review-clean4-messy-INT-0000013,review-clean4-messy-APP-000007,review-clean4-messy-CAND-03146,HR Round,06/16T08:00:00/2026,,Scheduled,3.0,4.3,4.4,Hire,In treatment continue doctor.
review-clean4-messy-INT-0000014,review-clean4-messy-APP-000008,review-clean4-messy-CAND-01999,Phone Screen,2026-06-23T12:00:00,,Scheduled,3.8,,1.6,Leaning No,
review-clean4-messy-INT-0000015,review-clean4-messy-APP-000008,review-clean4-messy-CAND-01999,Coding Challenge,06/26T17:00:00/2026,,Scheduled,1.3,,2.0,no hire,
review-clean4-messy-INT-0000016,review-clean4-messy-APP-000009,review-clean4-messy-CAND-00046,Phone Screen,2026-08-22T12:00:00,2026-08-22T20:00:00,Completed,4.8,1.5,  ,No Hire, Final add through between so face. 
review-clean4-messy-INT-0000017,review-clean4-messy-APP-000009,review-clean4-messy-CAND-00046,Technical,08/23T12:00:00/2026,2026-08-23T20:00:00,Done,,2.0,,Hire,Fast will their establish.
review-clean4-messy-INT-0000018,review-clean4-messy-APP-000009,review-clean4-messy-CAND-00046,Final Panel,2026-08-28T10:00:00,08/28T17:00:00/2026,Completed,foo, 3.6 ,NaN,Hire,
review-clean4-messy-INT-0000019,review-clean4-messy-APP-000010,review-clean4-messy-CAND-03483,Phone Screen,2026-07-26T14:00:00,2026-07-26T22:00:00,CANCELLED,4.9,,1.4,Strong Hire,
