stage_event_id,application_id,stage_name,entered_at,exited_at,stage_outcome,dropoff_flag,dropoff_reason
EVT-000001,APP-0001,Applied,2026-07-16T00:00:00,2026-07-22T00:00:00,Passed,False,
EVT-000002,APP-0001,Screening,2026-07-23T10:00:00,2026-07-25T10:00:00,Passed,False,
EVT-000003,APP-0001,Recruiter Screen,2026-07-27T06:00:00,2026-07-29T06:00:00,Passed,False,
EVT-000004,APP-0001,Hiring Manager Review,2026-07-29T16:00:00,2026-08-01T16:00:00,Passed,False,
EVT-000005,APP-0001,Technical Interview,2026-08-01T19:00:00,2026-08-04T19:00:00,Passed,False,
EVT-000006,APP-0001,Final Interview,2026-08-05T00:00:00,2026-08-06T00:00:00,Passed,False,
EVT-000007,APP-0002,Applied,2026-06-28T00:00:00,2026-07-04T00:00:00,Passed,False,
EVT-000008,APP-0002,Screening,2026-07-04T23:00:00,2026-07-06T23:00:00,Passed,False,
EVT-000009,APP-0002,Recruiter Screen,2026-07-07T13:00:00,2026-07-12T13:00:00,Passed,False,
EVT-000010,APP-0002,Hiring Manager Review,2026-07-13T22:00:00,2026-07-17T22:00:00,Passed,False,
EVT-000011,APP-0002,Technical Interview,2026-07-18T01:00:00,2026-07-19T01:00:00,Passed,False,
EVT-000012,APP-0003,Applied,2026-07-17T00:00:00,2026-07-21T00:00:00,Passed,False,
EVT-000013,APP-0003,Screening,2026-07-21T11:00:00,2026-07-24T11:00:00,Passed,False,
EVT-000014,APP-0003,Recruiter Screen,2026-07-25T19:00:00,2026-07-27T19:00:00,Passed,False,
EVT-000015,APP-0003,Hiring Manager Review,2026-07-27T20:00:00,2026-07-29T20:00:00,Failed,True,No Response
EVT-000016,APP-0004,Applied,2026-05-23T00:00:00,2026-05-29T00:00:00,Passed,False,
EVT-000017,APP-0004,Screening,2026-05-29T04:00:00,2026-05-31T04:00:00,Passed,False,
EVT-000018,APP-0004,Recruiter Screen,2026-05-31T18:00:00,2026-06-03T18:00:00,Passed,False,
EVT-000019,APP-0004,Hiring Manager Review,2026-06-04T05:00:00,2026-06-06T05:00:00,Withdrew,True,Tech Mismatch
EVT-000020,APP-0005,Applied,2026-06-05T00:00:00,2026-06-10T00:00:00,Passed,False,
EVT-000021,APP-0005,Screening,2026-06-11T09:00:00,2026-06-18T09:00:00,Passed,False,
EVT-000022,APP-0005,Recruiter Screen,2026-06-19T04:00:00,2026-06-23T04:00:00,Passed,False,
EVT-000023,APP-0006,Applied,2026-07-09T00:00:00,2026-07-15T00:00:00,Passed,False,
EVT-000024,APP-0006,Screening,2026-07-15T20:00:00,2026-07-20T20:00:00,Passed,False,
EVT-000025,APP-0006,Recruiter Screen,2026-07-21T14:00:00,2026-07-28T14:00:00,Passed,False,
EVT-000026,APP-0006,Hiring Manager Review,2026-07-29T05:00:00,2026-07-31T05:00:00,Passed,False,
EVT-000027,APP-0006,Technical Interview,2026-07-31T09:00:00,2026-08-03T09:00:00,Passed,False,
EVT-000028,APP-0006,Final Interview,2026-08-03T18:00:00,2026-08-06T18:00:00,Passed,False,
EVT-000029,APP-0006,Offer,2026-08-07T09:00:00,2026-08-13T09:00:00,Passed,False,
EVT-000030,APP-0006,Offer Accepted,2026-08-15T04:00:00,2026-08-18T04:00:00,Passed,False,
EVT-000031,APP-0007,Applied,2026-06-06T00:00:00,2026-06-11T00:00:00,Passed,False,
EVT-000032,APP-0007,Screening,2026-06-12T07:00:00,2026-06-15T07:00:00,Passed,False,
EVT-000033,APP-0007,Recruiter Screen,2026-06-15T11:00:00,2026-06-22T11:00:00,Passed,False,
EVT-000034,APP-0007,Hiring Manager Review,2026-06-23T10:00:00,2026-06-28T10:00:00,Passed,False,
EVT-000035,APP-0008,Applied,2026-06-19T00:00:00,2026-06-24T00:00:00,Passed,False,
EVT-000036,APP-0008,Screening,2026-06-26T00:00:00,2026-06-29T00:00:00,Passed,False,
EVT-000037,APP-0009,Applied,2026-08-15T00:00:00,2026-08-20T00:00:00,Passed,False,
EVT-000038,APP-0009,Screening,2026-08-21T11:00:00,2026-08-24T11:00:00,Passed,False,
EVT-000039,APP-0009,Recruiter Screen,2026-08-24T20:00:00,2026-08-28T20:00:00,Passed,False,
EVT-000040,APP-0009,Hiring Manager Review,2026-08-29T10:00:00,2026-08-31T10:00:00,Passed,False,
EVT-000041,APP-0009,Technical Interview,2026-08-31T19:00:00,2026-09-07T19:00:00,Passed,False,
EVT-000042,APP-0009,Final Interview,2026-09-09T14:00:00,2026-09-11T14:00:00,Passed,False,
EVT-000043,APP-0009,Offer,2026-09-12T00:00:00,2026-09-16T00:00:00,Passed,False,
EVT-000044,APP-0009,Offer Accepted,2026-09-17T00:00:00,2026-09-20T00:00:00,Failed,True,Salary
EVT-000045,APP-0010,Applied,2026-07-17T00:00:00,2026-07-24T00:00:00,Passed,False,
EVT-000046,APP-0010,Screening,2026-07-24T14:00:00,2026-07-26T14:00:00,Passed,False,
EVT-000047,APP-0010,Recruiter Screen,2026-07-27T21:00:00,2026-08-02T21:00:00,Passed,False,
EVT-000048,APP-0010,Hiring Manager Review,2026-08-03T05:00:00,2026-08-07T05:00:00,Passed,False,
EVT-000049,APP-0010,Technical Interview,2026-08-07T13:00:00,2026-08-10T13:00:00,Passed,False,
EVT-000050,APP-0011,Applied,2026-07-27T00:00:00,2026-07-28T00:00:00,Passed,False,
EVT-000051,APP-0012,Applied,2026-07-10T00:00:00,2026-07-16T00:00:00,Passed,False,
EVT-000052,APP-0012,Screening,2026-07-17T22:00:00,2026-07-24T22:00:00,Passed,False,
EVT-000053,APP-0012,Recruiter Screen,2026-07-26T21:00:00,2026-08-02T21:00:00,Passed,False,
EVT-000054,APP-0012,Hiring Manager Review,2026-08-04T15:00:00,2026-08-05T15:00:00,Failed,True,Withdrew
EVT-000055,APP-0013,Applied,2026-06-09T00:00:00,2026-06-13T00:00:00,Passed,False,
EVT-000056,APP-0013,Screening,2026-06-13T20:00:00,2026-06-20T20:00:00,Passed,False,
